Name,AttackId,EncounterId,DisplayName,PhaseIndex,SpeciesAbilityIndex,Element,TelegraphDurationSeconds,TelegraphRadius,CooldownSeconds,DamageMultiplier,bIsUltimate
Attack_Solarix_SolarDash,Solarix.SolarDash,Tower.SolarSpire,Solar Dash,1,0,Solar,0.9,340.0,5.0,1.15,false
Attack_Solarix_DawnShockwave,Solarix.DawnShockwave,Tower.SolarSpire,Dawn Shockwave,2,1,Solar,1.4,620.0,9.0,1.65,false
Attack_Solarix_CoronaRain,Solarix.CoronaRain,Tower.SolarSpire,Corona Rain,2,2,Solar,2.2,900.0,18.0,2.10,true
Attack_Miremaw_WhirlpoolBind,Miremaw.WhirlpoolBind,Tower.TorrentSpire,Whirlpool Bind,1,0,Torrent,1.2,420.0,7.0,1.10,false
Attack_Miremaw_TidalCrescent,Miremaw.TidalCrescent,Tower.TorrentSpire,Tidal Crescent,2,1,Torrent,1.5,700.0,10.0,1.55,false
Attack_Miremaw_BasinSurge,Miremaw.BasinSurge,Tower.TorrentSpire,Basin Surge,2,2,Torrent,2.4,980.0,20.0,2.20,true
Attack_Terradon_FaultlineBurst,Terradon.FaultlineBurst,Tower.GeoSpire,Faultline Burst,1,0,Geo,1.0,360.0,6.0,1.20,false
Attack_Terradon_ObsidianRam,Terradon.ObsidianRam,Tower.GeoSpire,Obsidian Ram,2,1,Geo,1.3,520.0,8.0,1.60,false
Attack_Terradon_ContinentalRift,Terradon.ContinentalRift,Tower.GeoSpire,Continental Rift,2,2,Geo,2.6,1100.0,22.0,2.35,true
Attack_Stormshell_VoltArc,Stormshell.VoltArc,Tower.VoltSpire,Volt Arc,1,0,Volt,0.8,300.0,4.5,1.15,false
Attack_Stormshell_PolarStatic,Stormshell.PolarStatic,Tower.VoltSpire,Polar Static,2,1,Glacial,1.6,680.0,10.0,1.60,false
Attack_Stormshell_ThunderMolting,Stormshell.ThunderMolting,Tower.VoltSpire,Thunder Molting,2,2,Volt,2.0,840.0,17.0,2.15,true
Attack_FirstDawn_AbyssalBreath,FirstDawn.AbyssalBreath,Tower.AbyssalSpire,Abyssal Breath,1,0,Abyssal,1.1,440.0,6.0,1.30,false
Attack_FirstDawn_DawnNullField,FirstDawn.DawnNullField,Tower.AbyssalSpire,Dawn Null Field,2,1,Astra,1.8,760.0,11.0,1.85,false
Attack_FirstDawn_Collapse,FirstDawn.Collapse,Tower.AbyssalSpire,First Dawn Collapse,3,2,Abyssal,3.0,1300.0,28.0,2.75,true
