Name,ParentSpeciesA,ParentSpeciesB,OffspringSpeciesTag,OffspringElementalAffinities,GuaranteedInheritedTraitTags,TraitInheritanceChance,HiddenPassiveUnlockChance,FusionGroupTag
Fusion_001,Echo.Terradon,Echo.Glacisaur,Echo.Steamwyrm,(Geo),"(Trait.Sturdy,Trait.Alert)",0.80,0.04,Fusion.Group.01
Fusion_002,Echo.Terradon,Echo.Ignisaur,Echo.Magnetite,(Geo),"(Trait.Sturdy,Trait.Alert)",0.85,0.05,Fusion.Group.02
Fusion_003,Echo.Terradon,Echo.Titanus,Echo.EclipseFox,(Geo),"(Trait.Sturdy,Trait.Alert)",0.90,0.06,Fusion.Group.03
Fusion_004,Echo.Terradon,Echo.Verdantor,Echo.StormRoc,"(Geo,Glacial)","(Trait.Sturdy,Trait.Alert)",0.95,0.07,Fusion.Group.04
Fusion_005,Echo.Terradon,Echo.Craghorn,Echo.Volcanodon,(Geo),"(Trait.Sturdy,Trait.Alert)",0.75,0.08,Fusion.Group.05
Fusion_006,Echo.Terradon,Echo.Thunderhide,Echo.FrostThorn,(Geo),"(Trait.Sturdy,Trait.Alert)",0.80,0.09,Fusion.Group.06
Fusion_007,Echo.Terradon,Echo.Stegocryst,Echo.ElectroPlant,(Geo),"(Trait.Sturdy,Trait.Alert)",0.85,0.10,Fusion.Group.07
Fusion_008,Echo.Terradon,Echo.Frostbrunt,Echo.ShadowPhoenix,(Geo),"(Trait.Sturdy,Trait.Alert)",0.90,0.03,Fusion.Group.08
Fusion_009,Echo.Terradon,Echo.Cinderbeast,Echo.MagmaHydra,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.95,0.04,Fusion.Group.09
Fusion_010,Echo.Terradon,Echo.Gravegorg,Echo.CrystalYeti,(Geo),"(Trait.Sturdy,Trait.Alert)",0.75,0.05,Fusion.Group.10
Fusion_011,Echo.Terradon,Echo.Amberhorn,Echo.PlasmaWolf,(Geo),"(Trait.Sturdy,Trait.Alert)",0.80,0.06,Fusion.Group.01
Fusion_012,Echo.Terradon,Echo.Spirebehemoth,Echo.VoidWyrm,(Geo),"(Trait.Sturdy,Trait.Alert)",0.85,0.07,Fusion.Group.02
Fusion_013,Echo.Terradon,Echo.Mossback,Echo.MudBehemoth,(Geo),"(Trait.Sturdy,Trait.Alert)",0.90,0.08,Fusion.Group.03
Fusion_014,Echo.Terradon,Echo.Ironhide,Echo.SolarMantis,"(Geo,Astra)","(Trait.Sturdy,Trait.Alert)",0.95,0.09,Fusion.Group.04
