Name,DyeTag,DisplayName,PrimaryTint,SecondaryTint,MaterialParameterName,UnlockRequirementTag,CraftCost,bUnlockedByDefault
Dye_AstraWhite,Dye.AstraWhite,Astra White,"(R=0.92,G=0.96,B=1.0,A=1.0)","(R=0.58,G=0.72,B=0.92,A=1.0)",DyeTint,,0,true
Dye_SunriseGold,Dye.SunriseGold,Sunrise Gold,"(R=1.0,G=0.67,B=0.16,A=1.0)","(R=0.55,G=0.22,B=0.05,A=1.0)",DyeTint,Technology.DyeCrafting,2,false
Dye_DawnRose,Dye.DawnRose,Dawn Rose,"(R=0.95,G=0.30,B=0.42,A=1.0)","(R=0.42,G=0.06,B=0.14,A=1.0)",DyeTint,Technology.DyeCrafting,2,false
Dye_VerdantLeaf,Dye.VerdantLeaf,Verdant Leaf,"(R=0.22,G=0.72,B=0.31,A=1.0)","(R=0.04,G=0.27,B=0.10,A=1.0)",DyeTint,Technology.DyeCrafting,2,false
Dye_Aquavine,Dye.Aquavine,Aquavine Blue,"(R=0.08,G=0.66,B=0.86,A=1.0)","(R=0.03,G=0.20,B=0.42,A=1.0)",DyeTint,Technology.DyeCrafting,2,false
Dye_Tideglass,Dye.Tideglass,Tideglass,"(R=0.30,G=0.92,B=0.88,A=1.0)","(R=0.04,G=0.35,B=0.40,A=1.0)",DyeTint,Technology.DyeCrafting,3,false
Dye_LumenViolet,Dye.LumenViolet,Lumen Violet,"(R=0.58,G=0.25,B=0.95,A=1.0)","(R=0.18,G=0.05,B=0.34,A=1.0)",DyeTint,Technology.DyeCrafting,3,false
Dye_Obsidian,Dye.Obsidian,Obsidian,"(R=0.05,G=0.06,B=0.08,A=1.0)","(R=0.16,G=0.18,B=0.22,A=1.0)",DyeTint,Technology.DyeCrafting,3,false
Dye_Ironbloom,Dye.Ironbloom,Ironbloom,"(R=0.32,G=0.36,B=0.42,A=1.0)","(R=0.10,G=0.12,B=0.16,A=1.0)",DyeTint,Technology.DyeCrafting,3,false
Dye_CinderRed,Dye.CinderRed,Cinder Red,"(R=0.82,G=0.10,B=0.05,A=1.0)","(R=0.30,G=0.02,B=0.01,A=1.0)",DyeTint,Technology.DyeCrafting,3,false
Dye_GlacierMint,Dye.GlacierMint,Glacier Mint,"(R=0.62,G=0.96,B=0.86,A=1.0)","(R=0.18,G=0.48,B=0.46,A=1.0)",DyeTint,Technology.DyeCrafting,3,false
Dye_Sandstone,Dye.Sandstone,Sandstone,"(R=0.76,G=0.55,B=0.32,A=1.0)","(R=0.34,G=0.18,B=0.08,A=1.0)",DyeTint,Technology.DyeCrafting,2,false
Dye_Moonstone,Dye.Moonstone,Moonstone,"(R=0.48,G=0.58,B=0.78,A=1.0)","(R=0.12,G=0.18,B=0.32,A=1.0)",DyeTint,Technology.DyeCrafting,4,false
Dye_StormBlue,Dye.StormBlue,Storm Blue,"(R=0.08,G=0.22,B=0.62,A=1.0)","(R=0.02,G=0.06,B=0.20,A=1.0)",DyeTint,Technology.DyeCrafting,4,false
Dye_Honeyamber,Dye.Honeyamber,Honey Amber,"(R=0.94,G=0.48,B=0.08,A=1.0)","(R=0.30,G=0.10,B=0.02,A=1.0)",DyeTint,Technology.DyeCrafting,4,false
Dye_Starfall,Dye.Starfall,Starfall,"(R=0.18,G=0.12,B=0.32,A=1.0)","(R=0.72,G=0.42,B=0.95,A=1.0)",DyeTint,Technology.DyeCrafting,5,false
