Name,DexOrder,SpeciesTag,SpeciesName,SpeciesTitle,AnatomyConcept,Diet,SocialBehavior,Temperament,HabitatBiomeTag,ActivityCycleTag,PrimaryElement,ElementalAffinities,Role,BaseMaxHealth,BaseAttackPower,BaseDefensePower,BaseStamina,BaseWalkSpeed,BaseRunSpeed,CaptureDifficultyModifier,WorkSuitabilityLevels,WorkSuitabilityTags,PassiveTraitTags,ActiveSkillTags,ActiveSkillElementTags,ActiveSkillCooldowns,ActiveSkillDamageMultipliers,ActiveSkillTelegraphs,PartnerSkillTag,MountedWeaponTag,DropItemTags,DropItemQuantities,ParentSpeciesA,ParentSpeciesB
MasterEcho_001_Terradon,1,Echo.Terradon,Terradon,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around terradon ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,(Geo),Combat,324.0,26.0,19.0,120.0,193.0,279.8,0.95,"(0,2,0,2,0,0,0,0,0,0,0,0)","(Work.Gathering,Work.Kindling)","(Trait.Sturdy,Trait.Alert)","(Skill.Terradon.Signature,Skill.Terradon.Utility,Skill.Terradon.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(2.5,5.8,13.5)","(0.75,1.02,1.58)","(0.25,0.55,1.05)",Partner.Terradon,MountWeapon.Terradon,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(2,3,2)",,
MasterEcho_002_Glacisaur,2,Echo.Glacisaur,Glacisaur,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around glacisaur ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Crepscular,Geo,(Geo),Combat,329.8,26.2,19.1,120.6,206.0,298.7,0.95,"(0,0,3,0,0,0,3,0,0,0,0,0)","(Work.Farming,Work.Crafting)","(Trait.Sturdy,Trait.Alert)","(Skill.Glacisaur.Signature,Skill.Glacisaur.Utility,Skill.Glacisaur.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(3.0,6.6,15.0)","(0.75,1.02,1.58)","(0.3,0.65,1.2)",Partner.Glacisaur,MountWeapon.Glacisaur,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(3,4,1)",,
MasterEcho_003_Ignisaur,3,Echo.Ignisaur,Ignisaur,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around ignisaur ecological silhouette; not a palette variant.,Omnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,(Geo),Combat,335.8,26.3,19.3,121.2,219.0,317.6,0.95,"(0,0,0,4,0,0,0,0,0,4,0,0)","(Work.Kindling,Work.Medicine)","(Trait.Sturdy,Trait.Alert)","(Skill.Ignisaur.Signature,Skill.Ignisaur.Utility,Skill.Ignisaur.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(3.5,7.4,16.5)","(0.75,1.02,1.59)","(0.35,0.45,1.35)",Partner.Ignisaur,MountWeapon.Ignisaur,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(1,5,2)",,
MasterEcho_004_Titanus,4,Echo.Titanus,Titanus,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around titanus ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Nocturnal,Geo,(Geo),Combat,341.9,26.5,19.4,121.8,232.0,336.4,0.96,"(1,0,0,0,1,0,0,0,0,0,0,0)","(Work.Mining,Work.Building)","(Trait.Sturdy,Trait.Alert)","(Skill.Titanus.Signature,Skill.Titanus.Utility,Skill.Titanus.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(4.0,8.2,18.0)","(0.76,1.03,1.59)","(0.2,0.55,0.9)",Partner.Titanus,MountWeapon.Titanus,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(2,6,1)",,
MasterEcho_005_Verdantor,5,Echo.Verdantor,Verdantor,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around verdantor ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,"(Geo,Glacial)",Combat,348.1,26.6,19.6,122.4,245.0,355.2,0.96,"(0,0,0,2,0,2,0,0,0,0,0,0)","(Work.Kindling,Work.Cooling)","(Trait.Sturdy,Trait.Alert)","(Skill.Verdantor.Signature,Skill.Verdantor.Utility,Skill.Verdantor.Ultimate)","(Element.Geo,Element.Glacial,Element.Geo)","(2.0,9.0,19.5)","(0.76,1.03,1.59)","(0.25,0.65,1.05)",Partner.Verdantor,MountWeapon.Verdantor,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(3,2,2)",,
MasterEcho_006_Craghorn,6,Echo.Craghorn,Craghorn,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around craghorn ecological silhouette; not a palette variant.,Omnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Crepscular,Geo,(Geo),Combat,354.4,26.8,19.7,123.0,258.0,374.1,0.96,"(0,0,0,0,0,0,3,0,0,0,0,0)",(Work.Crafting),"(Trait.Sturdy,Trait.Alert)","(Skill.Craghorn.Signature,Skill.Craghorn.Utility,Skill.Craghorn.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(2.5,9.8,21.0)","(0.76,1.03,1.6)","(0.3,0.45,1.2)",Partner.Craghorn,MountWeapon.Craghorn,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(1,3,1)",,
MasterEcho_007_Thunderhide,7,Echo.Thunderhide,Thunderhide,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around thunderhide ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,(Geo),Combat,360.8,27.0,19.8,123.6,271.0,392.9,0.96,"(0,0,0,0,0,0,0,4,0,4,0,0)","(Work.Transport,Work.Medicine)","(Trait.Sturdy,Trait.Alert)","(Skill.Thunderhide.Signature,Skill.Thunderhide.Utility,Skill.Thunderhide.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(3.0,5.0,22.5)","(0.76,1.03,1.6)","(0.35,0.55,1.35)",Partner.Thunderhide,MountWeapon.Thunderhide,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(2,4,2)",,
MasterEcho_008_Stegocryst,8,Echo.Stegocryst,Stegocryst,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around stegocryst ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Nocturnal,Geo,(Geo),Combat,367.4,27.1,20.0,124.2,284.0,411.8,0.96,"(1,0,0,0,0,0,0,0,1,0,0,0)","(Work.Mining,Work.Generator)","(Trait.Sturdy,Trait.Alert)","(Skill.Stegocryst.Signature,Skill.Stegocryst.Utility,Skill.Stegocryst.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(3.5,5.8,24.0)","(0.76,1.04,1.61)","(0.2,0.65,0.9)",Partner.Stegocryst,MountWeapon.Stegocryst,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(3,5,1)",,
MasterEcho_009_Frostbrunt,9,Echo.Frostbrunt,Frostbrunt,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around frostbrunt ecological silhouette; not a palette variant.,Omnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,(Geo),Combat,374.0,27.3,20.1,124.8,180.0,261.0,0.97,"(0,0,0,2,0,0,0,0,0,2,0,0)","(Work.Kindling,Work.Medicine)","(Trait.Sturdy,Trait.Alert)","(Skill.Frostbrunt.Signature,Skill.Frostbrunt.Utility,Skill.Frostbrunt.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(4.0,6.6,12.0)","(0.77,1.04,1.61)","(0.25,0.45,1.05)",Partner.Frostbrunt,MountWeapon.Frostbrunt,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(1,6,2)",,
MasterEcho_010_Cinderbeast,10,Echo.Cinderbeast,Cinderbeast,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around cinderbeast ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Crepscular,Geo,"(Geo,Torrent)",Combat,380.8,27.4,20.3,125.4,193.0,279.8,0.97,"(0,0,0,0,0,0,3,0,0,0,3,0)","(Work.Crafting,Work.Watering)","(Trait.Sturdy,Trait.Alert)","(Skill.Cinderbeast.Signature,Skill.Cinderbeast.Utility,Skill.Cinderbeast.Ultimate)","(Element.Geo,Element.Torrent,Element.Geo)","(2.0,7.4,13.5)","(0.77,1.04,1.61)","(0.3,0.55,1.2)",Partner.Cinderbeast,MountWeapon.Cinderbeast,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(2,2,1)",,
