Name,SpeciesTag,Temperament,DietTag,SocialGroupTag,PerceptionRadius,TerritoryRadius,HungerSecondsUntilForage,FleeHealthThreshold,DefendHealthThreshold,bCanMigrateDuringWorldEvents,bFormsGroups,bDefendsYoung
Ecosystem_001_Terradon,Echo.Terradon,PackHunter,Diet.Carnivore,Group.Pack.01,2450,850,690,0.21,0.50,false,true,true
Ecosystem_002_Glacisaur,Echo.Glacisaur,Territorial,Diet.Carnivore,Group.Pack.02,2700,1000,780,0.24,0.55,false,false,false
Ecosystem_003_Ignisaur,Echo.Ignisaur,PackHunter,Diet.Carnivore,Group.Pack.03,2950,1150,870,0.27,0.60,true,true,true
Ecosystem_004_Titanus,Echo.Titanus,Territorial,Diet.Carnivore,Group.Pack.04,3200,1300,960,0.30,0.45,false,false,false
Ecosystem_005_Verdantor,Echo.Verdantor,SolitaryApex,Diet.Carnivore,Group.Pack.05,3450,1450,1050,0.18,0.50,false,false,false
Ecosystem_006_Craghorn,Echo.Craghorn,Territorial,Diet.Carnivore,Group.Pack.06,3700,1600,600,0.21,0.55,true,false,false
Ecosystem_007_Thunderhide,Echo.Thunderhide,PackHunter,Diet.Carnivore,Group.Pack.07,2200,1750,690,0.24,0.60,false,true,true
Ecosystem_008_Stegocryst,Echo.Stegocryst,Territorial,Diet.Carnivore,Group.Pack.01,2450,700,780,0.27,0.45,false,false,false
Ecosystem_009_Frostbrunt,Echo.Frostbrunt,PackHunter,Diet.Carnivore,Group.Pack.02,2700,850,870,0.30,0.50,true,true,true
Ecosystem_010_Cinderbeast,Echo.Cinderbeast,SolitaryApex,Diet.Carnivore,Group.Pack.03,2950,1000,960,0.18,0.55,false,false,false
Ecosystem_011_Gravegorg,Echo.Gravegorg,PackHunter,Diet.Carnivore,Group.Pack.04,3200,1150,1050,0.21,0.60,false,true,true
Ecosystem_012_Amberhorn,Echo.Amberhorn,Territorial,Diet.Carnivore,Group.Pack.05,3450,1300,600,0.24,0.45,true,false,false
Ecosystem_013_Spirebehemoth,Echo.Spirebehemoth,PackHunter,Diet.Carnivore,Group.Pack.06,3700,1450,690,0.27,0.50,false,true,true
Ecosystem_014_Mossback,Echo.Mossback,Territorial,Diet.Carnivore,Group.Pack.07,2200,1600,780,0.30,0.55,false,false,false
Ecosystem_015_Ironhide,Echo.Ironhide,SolitaryApex,Diet.Carnivore,Group.Pack.01,2450,1750,870,0.18,0.60,true,false,false
Ecosystem_016_Rootcolossus,Echo.Rootcolossus,Territorial,Diet.Carnivore,Group.Pack.02,2700,700,960,0.21,0.45,false,false,false
