Name,FishTag,DisplayName,HabitatTag,MinDepthMeters,MaxDepthMeters,BaitTag,CatchItemTag,SellPrice,PullStrength,RequiredReelSeconds,SafeTensionMin,SafeTensionMax,RarityWeight
Fish_Sunscale,Fish.Sunscale,Sunscale Minnow,Location.AquavineSpring,0,8,Item.Bait.FiberGrub,Item.Fish.Sunscale,12,0.8,3.0,20,82,2.5
Fish_Dawnfin,Fish.Dawnfin,Dawnfin,Location.AquavineSpring,0,15,Item.Bait.FiberGrub,Item.Fish.Dawnfin,18,0.9,3.5,18,84,2.0
Fish_Glassgill,Fish.Glassgill,Glassgill,Location.AquavineSpring,2,25,Item.Bait.LumenWorm,Item.Fish.Glassgill,28,1.0,4.0,22,80,1.5
Fish_Mossback,Fish.Mossback,Mossback,Location.AquavineSpring,4,40,Item.Bait.FiberGrub,Item.Fish.Mossback,35,1.2,4.5,25,78,1.2
Fish_Rippledart,Fish.Rippledart,Rippledart,Location.AquavineSpring,0,12,Item.Bait.Sunseed,Item.Fish.Rippledart,10,0.7,2.8,15,86,3.0
Fish_Embergill,Fish.Embergill,Embergill,Location.ScorchedObsidianCaldera,5,35,Item.Bait.AshBeetle,Item.Fish.Embergill,42,1.3,4.8,28,76,1.1
Fish_Cinderjaw,Fish.Cinderjaw,Cinderjaw,Location.ScorchedObsidianCaldera,20,75,Item.Bait.AshBeetle,Item.Fish.Cinderjaw,70,1.8,6.0,32,72,0.6
Fish_Lavafin,Fish.Lavafin,Lavafin,Location.ScorchedObsidianCaldera,10,55,Item.Bait.MagmaGrub,Item.Fish.Lavafin,58,1.5,5.5,30,74,0.8
Fish_CharcoalSkate,Fish.CharcoalSkate,Charcoal Skate,Location.ScorchedObsidianCaldera,35,100,Item.Bait.MagmaGrub,Item.Fish.CharcoalSkate,95,2.0,6.8,35,68,0.4
Fish_Sparkscale,Fish.Sparkscale,Sparkscale,Location.ScorchedObsidianCaldera,0,20,Item.Bait.Sunseed,Item.Fish.Sparkscale,25,1.0,3.8,20,82,1.6
Fish_RainbowEel,Fish.RainbowEel,Rainbow Eel,Location.SylvanRainforest,5,45,Item.Bait.LumenWorm,Item.Fish.RainbowEel,46,1.1,4.8,22,80,1.0
Fish_Vinewhisker,Fish.Vinewhisker,Vinewhisker,Location.SylvanRainforest,0,18,Item.Bait.FiberGrub,Item.Fish.Vinewhisker,16,0.8,3.2,18,84,2.4
Fish_Pondwarden,Fish.Pondwarden,Pondwarden,Location.SylvanRainforest,10,60,Item.Bait.FiberGrub,Item.Fish.Pondwarden,62,1.5,5.8,28,76,0.8
