Name,WeaponTag,DisplayName,HardpointSlot,BaseDamage,FireRate,EnergyCostPerShot,HeatGeneratedPerShot,ProjectileSpeed,bIsHomingMissile,bIsContinuousBeam
Wep_01,Weapon.PhotonicRepeater,Astra Photonic Repeater,PrimaryRightHand,240.0,4.0,12.0,6.0,14000.0,false,false
Wep_02,Weapon.PlasmaEdge,Twin Plasma Edge,SecondaryLeftHand,450.0,2.0,0.0,8.0,0.0,false,false
Wep_03,Weapon.MicroMissiles,32-Tube Micro-Missile Rack,ShoulderRight,90.0,12.0,8.0,15.0,8500.0,true,false
Wep_04,Weapon.TwinPulseCannon,Twin Pulse Cannon,PrimaryRightHand,850.0,1.0,45.0,28.0,18000.0,false,true
Wep_05,Weapon.TwinRailgun,Gauss Electromagnetic Railgun,ShoulderLeft,650.0,1.5,30.0,20.0,22000.0,false,false
Wep_06,Weapon.RemoteAstraBits,Remote Astra Bits,RearThruster,180.0,8.0,20.0,12.0,12000.0,true,false
Wep_07,Weapon.SolarAnnihilator,Solar Core Annihilator,ChestCore,1800.0,0.3,120.0,50.0,16000.0,false,true
Wep_08,Weapon.HeavyShield,Aegis Kinetic Shield,SecondaryLeftHand,120.0,1.0,18.0,4.0,0.0,false,false
Wep_09,Weapon.ChestCannon,Aegis Chest Cannon,ChestCore,520.0,1.0,32.0,22.0,14000.0,false,false
Wep_10,Weapon.CyberClaws,Cyber Talon Array,PrimaryRightHand,300.0,3.0,10.0,5.0,0.0,false,false
Wep_11,Weapon.SonicRoarCannon,Sonic Roar Emitter,ChestCore,420.0,1.2,28.0,18.0,9000.0,false,false
Wep_12,Weapon.TailLaser,Rear Arc Tail Laser,RearThruster,260.0,4.0,18.0,10.0,15000.0,false,true
Wep_13,Weapon.SwarmMissiles,Swarm Missile Array,ShoulderLeft,150.0,6.0,18.0,16.0,9500.0,true,false
Wep_14,Weapon.SolarLanceCannon,Solar Lance Cannon,ChestCore,1100.0,0.6,70.0,36.0,17000.0,false,true
