Name,MountProfileId,SaddleSocketName,SpeedMultiplier,StaminaCostPerSecond,JumpMultiplier,bAllowsCombatFromMount,MountFamilyTag
Mount_PyreliteRunner,Mount.PyreliteRunner,SaddleSocket,1.35,7.0,1.15,true,MountFamily.Beast
Mount_ThornbackHauler,Mount.ThornbackHauler,SaddleSocket,1.1,5.0,0.85,false,MountFamily.Beast
Mount_AquavineSkimmer,Mount.AquavineSkimmer,SaddleSocket,1.2,4.5,1.0,false,MountFamily.Amphibian
Mount_TorrentailSkimmer,Mount.TorrentailSkimmer,SaddleSocket,1.3,5.5,1.0,true,MountFamily.Amphibian
Mount_CinderclawBreaker,Mount.CinderclawBreaker,SaddleSocket,1.25,7.5,1.0,true,MountFamily.Beast
Mount_TerradonCarrier,Mount.TerradonCarrier,SaddleSocket,0.95,4.0,0.75,false,MountFamily.Beast
Mount_IgnisaurStrider,Mount.IgnisaurStrider,SaddleSocket,1.4,8.0,1.1,true,MountFamily.Beast
Mount_FrostfoxRunner,Mount.FrostfoxRunner,SaddleSocket,1.45,6.0,1.2,false,MountFamily.Beast
Mount_GlacisaurCarrier,Mount.GlacisaurCarrier,SaddleSocket,0.9,4.0,0.7,false,MountFamily.Beast
Mount_CryovexGlider,Mount.CryovexGlider,SaddleSocket,1.5,8.0,1.35,false,MountFamily.Avian
Mount_LumiflyGlider,Mount.LumiflyGlider,SaddleSocket,1.3,5.0,1.25,false,MountFamily.Avian
Mount_BrambletuskHauler,Mount.BrambletuskHauler,SaddleSocket,1.05,4.5,0.8,false,MountFamily.Beast
Mount_EmberwingGlider,Mount.EmberwingGlider,SaddleSocket,1.55,8.5,1.4,true,MountFamily.Avian
Mount_MiremawSwimmer,Mount.MiremawSwimmer,SaddleSocket,1.25,5.0,0.9,true,MountFamily.Amphibian
Mount_TidehornSkiff,Mount.TidehornSkiff,SaddleSocket,1.15,4.0,1.0,false,MountFamily.Amphibian
Mount_StormshellCarrier,Mount.StormshellCarrier,SaddleSocket,0.9,3.5,0.7,true,MountFamily.Amphibian
Mount_CraggleCarrier,Mount.CraggleCarrier,SaddleSocket,1.0,4.0,0.8,false,MountFamily.Beast
Mount_FlareelkSkimmer,Mount.FlareelkSkimmer,SaddleSocket,1.35,6.0,1.0,true,MountFamily.Amphibian
Mount_SkyrillGlider,Mount.SkyrillGlider,SaddleSocket,1.6,8.0,1.45,false,MountFamily.Avian
Mount_MoonmoteGlider,Mount.MoonmoteGlider,SaddleSocket,1.25,4.5,1.3,false,MountFamily.Avian
Mount_AurorocerosCarrier,Mount.AurorocerosCarrier,SaddleSocket,1.05,4.0,0.85,true,MountFamily.Beast
