Name,PartTag,DisplayName,Slot,CompatibleVehicleTags,SpeedMultiplier,FuelConsumptionMultiplier,ArmorBonus,BatteryCapacity,BoostMultiplier,WeaponPower,UtilityEffectTag
Part_Engine_BioFuel,Part.Engine.BioFuel,Bio-Fuel Combustion Engine,Engine,"(Vehicle.Rover.AstraExplorer,Vehicle.SiegeTank.TitanCrawler,Vehicle.MobileBase.MammothHauler,Vehicle.BattleCruiser.AstraFrigate)",1.05,0.95,0.0,0.0,1.05,0.0,Utility.BioFuelEfficiency
Part_Engine_Electric,Part.Engine.ElectricBattery,Electric Battery Core,Engine,"(Vehicle.Hoverbike.Striker,Vehicle.Monowheel.GyroStriker,Vehicle.JetSki.HydroGlider,Vehicle.MiniSub.Nautilus,Vehicle.Gyrocopter.Zephyr)",1.10,0.80,0.0,100.0,1.10,0.0,Utility.RegenerativeBraking
Part_Engine_Fusion,Part.Engine.AstraFusion,Fusion Core,Engine,"(Vehicle.VTOLExplorer.Skyhawk,Vehicle.Airship.SkyGalleon)",1.20,0.65,0.0,250.0,1.25,0.0,Utility.FusionOutput
Part_Armor_Titanium,Part.Armor.HeavyTitanium,Titanium Armor,Armor,"(Vehicle.Rover.AstraExplorer,Vehicle.SiegeTank.TitanCrawler,Vehicle.MobileBase.MammothHauler,Vehicle.BattleCruiser.AstraFrigate,Vehicle.VTOLExplorer.Skyhawk)",0.90,1.10,420.0,0.0,0.90,0.0,Utility.HeavyArmor
Part_Armor_Forcefield,Part.Armor.ForcefieldShield,Forcefield Shield,Armor,"(Vehicle.MiniSub.Nautilus,Vehicle.VTOLExplorer.Skyhawk,Vehicle.Airship.SkyGalleon)",1.00,1.05,300.0,150.0,1.00,0.0,Utility.EnergyShield
Part_Weapon_Autocannon,Part.Weapon.Autocannon,Autocannon,Weapon,"(Vehicle.Hoverbike.Striker,Vehicle.Monowheel.GyroStriker,Vehicle.SiegeTank.TitanCrawler,Vehicle.VTOLExplorer.Skyhawk)",1.00,1.00,0.0,0.0,1.00,80.0,Weapon.Autocannon
Part_Weapon_MiningLaser,Part.Weapon.MiningLaser,Mining Laser,Weapon,"(Vehicle.Rover.AstraExplorer,Vehicle.MiniSub.Nautilus,Vehicle.MobileBase.MammothHauler)",1.00,1.05,0.0,0.0,1.00,55.0,Utility.MiningLaser
Part_Weapon_MissilePod,Part.Weapon.MissilePod,Missile Pod,Weapon,"(Vehicle.SiegeTank.TitanCrawler,Vehicle.VTOLExplorer.Skyhawk,Vehicle.Airship.SkyGalleon)",1.00,1.00,0.0,0.0,1.00,140.0,Weapon.HomingMissiles
Part_Utility_Sonar,Part.Utility.SonarScanner,Sonar Scanner,Utility,"(Vehicle.MiniSub.Nautilus,Vehicle.BattleCruiser.AstraFrigate)",1.00,0.95,0.0,20.0,1.00,0.0,Utility.DeepSonar
Part_Utility_Nitrous,Part.Utility.NitrousTank,Nitrous Tank,Utility,"(Vehicle.Hoverbike.Striker,Vehicle.SandSkiff.DuneRider,Vehicle.JetSki.HydroGlider)",1.00,1.20,0.0,0.0,1.35,0.0,Utility.NitrousBoost
Part_Utility_Cargo,Part.Utility.CargoCrate,Cargo Crate,Utility,"(Vehicle.Rover.AstraExplorer,Vehicle.SiegeTank.TitanCrawler,Vehicle.MobileBase.MammothHauler,Vehicle.Airship.SkyGalleon)",0.95,1.00,60.0,0.0,1.00,0.0,Utility.CargoExpansion
Part_Utility_RepairDrone,Part.Utility.RepairDrone,Repair Drone,Utility,"(Vehicle.Rover.AstraExplorer,Vehicle.MobileBase.MammothHauler,Vehicle.Airship.SkyGalleon)",0.95,1.00,0.0,0.0,1.00,0.0,Utility.RepairDrone
