ID,Name,Body Plan,Size,Element,Mesh Path,Material Path
1,Echo_Quadruped_Tiny_Ember_001,Quadruped,0.3,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Tiny.SK_Echo_Quadruped_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Tiny_Ember_001.MI_Echo_Echo_Quadruped_Tiny_Ember_001
2,Echo_Quadruped_Tiny_Frost_002,Quadruped,0.3,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Tiny.SK_Echo_Quadruped_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Tiny_Frost_002.MI_Echo_Echo_Quadruped_Tiny_Frost_002
3,Echo_Quadruped_Tiny_Pulse_003,Quadruped,0.3,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Tiny.SK_Echo_Quadruped_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Tiny_Pulse_003.MI_Echo_Echo_Quadruped_Tiny_Pulse_003
4,Echo_Quadruped_Small_Ember_004,Quadruped,0.6,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Small.SK_Echo_Quadruped_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Small_Ember_004.MI_Echo_Echo_Quadruped_Small_Ember_004
5,Echo_Quadruped_Small_Frost_005,Quadruped,0.6,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Small.SK_Echo_Quadruped_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Small_Frost_005.MI_Echo_Echo_Quadruped_Small_Frost_005
6,Echo_Quadruped_Small_Pulse_006,Quadruped,0.6,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Small.SK_Echo_Quadruped_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Small_Pulse_006.MI_Echo_Echo_Quadruped_Small_Pulse_006
7,Echo_Quadruped_Medium_Ember_007,Quadruped,1.0,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Medium.SK_Echo_Quadruped_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Medium_Ember_007.MI_Echo_Echo_Quadruped_Medium_Ember_007
8,Echo_Quadruped_Medium_Frost_008,Quadruped,1.0,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Medium.SK_Echo_Quadruped_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Medium_Frost_008.MI_Echo_Echo_Quadruped_Medium_Frost_008
9,Echo_Quadruped_Medium_Pulse_009,Quadruped,1.0,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Medium.SK_Echo_Quadruped_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Medium_Pulse_009.MI_Echo_Echo_Quadruped_Medium_Pulse_009
10,Echo_Quadruped_Large_Ember_010,Quadruped,1.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Large.SK_Echo_Quadruped_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Large_Ember_010.MI_Echo_Echo_Quadruped_Large_Ember_010
11,Echo_Quadruped_Large_Frost_011,Quadruped,1.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Large.SK_Echo_Quadruped_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Large_Frost_011.MI_Echo_Echo_Quadruped_Large_Frost_011
